Image,hemostasis,inflammatory,proliferative,maturation
Day 3_A8-5-L.png,0.2,0.8,0.0,0.0
Day 4_Y8-3-L.png,0.5,0.5,0.0,0.0
Day 10_A8-5-L.png,0.0,0.2,0.7,0.1
Day 8_Y8-4-R.png,0.1,0.0,0.8,0.1
Day 2_Y8-1-R.png,0.7,0.3,0.0,0.0
Day 11_Y8-1-R.png,0.0,0.0,0.0,1.0
Day 14_A8-4-R.png,0.0,0.1111111111111111,0.7777777777777778,0.1111111111111111
Day 0_Y8-2-R.png,1.0,0.0,0.0,0.0
Day 7_A8-4-R.png,0.1,0.7,0.2,0.0
Day 13_Y8-2-R.png,0.0,0.0,0.0,1.0
Day 15_Y8-4-L.png,0.0,0.0,0.0,1.0
Day 6_Y8-4-L.png,0.1,0.3,0.6,0.0
Day 3_A8-1-L.png,0.3,0.7,0.0,0.0
Day 10_A8-1-L.png,0.0,0.3,0.7,0.0
Day 9_A8-4-L.png,0.2,0.5,0.3,0.0
Day 5_A8-3-R.png,0.2,0.7,0.1,0.0
Day 14_Y8-1-R.png,0.0,0.0,0.1,0.9
Day 7_Y8-1-R.png,0.0,0.3,0.5,0.2
Day 2_A8-4-R.png,0.9,0.1,0.0,0.0
Day 11_A8-4-R.png,0.0,0.2,0.7,0.1
Day 5_Y8-2-R.png,0.0,0.2,0.8,0.0
Day 8_A8-1-R.png,0.2,0.6,0.2,0.0
Day 1_Y8-3-L.png,0.7,0.3,0.0,0.0
Day 15_A8-5-L.png,0.0,0.1,0.6,0.3
Day 12_Y8-3-L.png,0.0,0.0,0.2,0.8
Day 6_A8-5-L.png,0.1,0.5,0.4,0.0
Day 12_Y8-1-L.png,0.0,0.0,0.0,1.0
Day 1_Y8-1-L.png,0.7,0.3,0.0,0.0
Day 8_A8-3-R.png,0.0,0.2,0.8,0.0
Day 10_Y8-2-L.png,0.0,0.2,0.7,0.1
Day 4_A8-4-L.png,0.1,0.7,0.2,0.0
Day 3_Y8-2-L.png,0.8,0.2,0.0,0.0
Day 13_A8-5-R.png,0.0,0.0,0.2222222222222222,0.7777777777777778
Day 7_Y8-3-R.png,0.1,0.1,0.7,0.1
Day 0_A8-5-R.png,0.8,0.2,0.0,0.0
Day 14_Y8-3-R.png,0.0,0.0,0.0,1.0
Day 13_Y8-4-R.png,0.0,0.0,0.0,1.0
Day 0_Y8-4-R.png,1.0,0.0,0.0,0.0
Day 5_A8-1-R.png,0.2,0.5,0.3,0.0
Day 8_Y8-2-R.png,0.0,0.0,0.7,0.3
Day 10_A8-3-L.png,0.0,0.3,0.7,0.0
Day 3_A8-3-L.png,0.2,0.7,0.0,0.1
Day 8_A8-4-R.png,0.0,0.4,0.5,0.1
Day 4_A8-3-L.png,0.3,0.6,0.1,0.0
Day 14_Y8-4-R.png,0.0,0.0,0.0,1.0
Day 7_Y8-4-R.png,0.0,0.0,0.6,0.4
Day 2_A8-1-R.png,0.4,0.5,0.1,0.0
Day 11_A8-1-R.png,0.0,0.1,0.8,0.1
Day 9_A8-1-L.png,0.0,0.3,0.6,0.1
Day 14_A8-5-R.png,0.0,0.0,0.2,0.8
Day 0_Y8-3-R.png,1.0,0.0,0.0,0.0
Day 7_A8-5-R.png,0.0,0.4,0.6,0.0
Day 13_Y8-3-R.png,0.0,0.0,0.0,1.0
Day 15_Y8-1-L.png,0.0,0.0,0.0,1.0
Day 6_Y8-1-L.png,0.0,0.6,0.4,0.0
Day 3_A8-4-L.png,0.1,0.8,0.1,0.0
Day 4_Y8-2-L.png,0.7,0.3,0.0,0.0
Day 10_A8-4-L.png,0.1,0.3,0.6,0.0
Day 6_Y8-3-L.png,0.1,0.3,0.6,0.0
Day 12_A8-5-L.png,0.0,0.0,0.8,0.2
Day 15_Y8-3-L.png,0.0,0.0,0.0,1.0
Day 1_A8-5-L.png,0.6,0.3,0.1,0.0
Day 13_Y8-1-R.png,0.0,0.0,0.0,1.0
Day 0_Y8-1-R.png,0.8,0.2,0.0,0.0
Day 9_A8-3-L.png,0.1,0.3,0.6,0.0
Day 5_A8-4-R.png,0.1,0.7,0.2,0.0
Day 11_Y8-2-R.png,0.0,0.0,0.0,1.0
Day 2_Y8-2-R.png,0.5,0.5,0.0,0.0
Day 9_Y8-2-L.png,0.1,0.5,0.3,0.1
Day 11_A8-3-R.png,0.0,0.3,0.7,0.0
Day 2_A8-3-R.png,0.7,0.3,0.0,0.0
Day 12_Y8-4-L.png,0.0,0.0,0.1,0.9
Day 1_Y8-4-L.png,0.3,0.4,0.3,0.0
Day 4_A8-1-L.png,0.1,0.4,0.5,0.0
Day 5_Y8-1-R.png,0.1,0.5,0.4,0.0
Day 13_A8-4-R.png,0.0,0.4,0.5,0.1
Day 7_Y8-2-R.png,0.0,0.0,0.8,0.2
Day 0_A8-4-R.png,1.0,0.0,0.0,0.0
Day 14_Y8-2-R.png,0.0,0.0,0.0,1.0
Day 10_Y8-3-L.png,0.0,0.0,0.1,0.9
Day 4_A8-5-L.png,0.2,0.3,0.5,0.0
Day 3_Y8-3-L.png,0.4,0.5,0.1,0.0
Day 4_Y8-4-L.png,0.4,0.5,0.1,0.0
Day 8_Y8-3-R.png,0.0,0.0,0.6,0.4
Day 12_A8-1-L.png,0.1,0.2,0.6,0.1
Day 1_A8-1-L.png,0.9,0.1,0.0,0.0
Day 7_A8-3-R.png,0.3,0.3,0.4,0.0
Day 14_A8-3-R.png,0.0,0.0,0.4,0.6
Day 2_Y8-4-R.png,0.3,0.7,0.0,0.0
Day 11_Y8-4-R.png,0.0,0.0,0.4,0.6
Day 14_A8-1-R.png,0.0,0.1,0.3,0.6
Day 7_A8-1-R.png,0.1,0.7,0.1,0.1
Day 9_A8-5-L.png,0.0,0.3,0.2,0.5
Day 1_A8-3-L.png,0.8,0.2,0.0,0.0
Day 12_A8-3-L.png,0.0,0.1,0.7,0.2
Day 8_Y8-1-R.png,0.0,0.1,0.8,0.1
Day 3_Y8-1-L.png,0.4,0.5,0.1,0.0
Day 10_Y8-1-L.png,0.0,0.1,0.8,0.1
Day 1_Y8-2-L.png,1.0,0.0,0.0,0.0
Day 15_A8-4-L.png,0.0,0.0,0.1,0.9
Day 12_Y8-2-L.png,0.0,0.0,0.4,0.6
Day 6_A8-4-L.png,0.2,0.6,0.2,0.0
Day 2_A8-5-R.png,0.6,0.4,0.0,0.0
Day 11_A8-5-R.png,0.0,0.0,0.4,0.6
Day 5_Y8-3-R.png,0.1,0.7,0.2,0.0
Day 9_Y8-4-L.png,0.0,0.0,0.6,0.4
